#family,startpoint,drv_par,drv_signal,rcv_par,rcv_signal,endpoint,pba_mode
124H,mclk_*,par_fe,dsbsoulastuopm124h,par_msid,dsbsoulastuopm124h,mclk_*,none
Fault,mclk_*,par_meu,miintwbisfaultm805h,par_ooo_int,miintwbisfaultm805h,mclk_*,none
800h_vec,mclk_*,par_ooo_int,rspwrupldm801h,par_ooo_vec,rspwrupldm801h,mclk_*,none
Fault,mclk_*,par_meu,miintwbfaultflagsoverrm805h,par_ooo_int,miintwbfaultflagsoverrm805h,mclk_*,path
SRCDATA,mclk_exe,par_exe,mi2v0srcdatam304h,par_fmav0,misrcdatam304h,mclk_*,none
SRCDATA,mclk_exe,par_exe,mi2v1srcdatam304h,par_fmav1,misrcdatam304h,mclk_*,none
SRCDATA,mclk_exe,par_exe,miBypLevelM304H_reg,par_fmav*,misrcdatam304h,mclk_*,none
SRCDATA,mclk_exe,par_exe,miLdDataM80*H_reg,par_fmav*,misrcdatam304h,mclk_*,none
SRCDATA,mclk_exe,par_exe,RSDataM304H_reg,par_fmav*,misrcdatam304h,mclk_*,none
SRCDATA,mclk_exe,par_exe,miwbM805H_reg,par_fmav*,misrcdatam304h,mclk_*,none
SRCDATA,mclk_exe,par_exe,miBypFromVPLdM304H_reg,par_fmav*,misrcdatam304h,mclk_*,none
Fault,mclk_*,par_ooo_int,miintwbfaultflagsm806h,par_ooo_vec,miintwbfaultflagsm806h,mclk_*,none
Fault,mclk_*,par_ooo_int,miintwbfaultinfom806h,par_ooo_vec,miintwbfaultinfom806h,mclk_*,none
800h_int,mclk_*,par_meu,mowbpdstintldm800h,par_ooo_int,mowbpdstldm800h,mclk_ooo_int,path
800h_int,mclk_*,par_meu,mowbvldm800h,par_ooo_int,mowbvldm800h,mclk_ooo_int,path
800h_vec,mclk_*,par_meu,mowbvldm800h,par_ooo_vec,mowbvldm800h,mclk_ooo_vec,none
800h_vec,mclk_*,par_ooo_vec,RSWBPdstLdM801H*reg*,par_ooo_vec,RSLDCamcRdyEuM300H*reg*,mclk_*,none
800h_vec,mclk_*,par_meu,mowbpdstvecldm800h,par_ooo_vec,rsvecwbpdstldm800h,mclk_*,none
fp_WB_data,mclk_*,par_fmav0,fpwbm805h*_data_*,par_exe,fpv0wbm805h*_data_*,mclk_*,none
fp_WB_data,mclk_*,par_fmav1,fpwbm805h*_data_*,par_exe,fpv1wbm805h*_data_*,mclk_*,none
fp_WB_flag,mclk_*,par_fmav0,fpwbm805h*_flags,par_exe,fpv0wbm805h*_flags,mclk_*,none
fp_WB_flag,mclk_*,par_fmav1,fpwbm805h*_flags,par_exe,fpv1wbm805h*_flags,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsgatherldinprogm301h,par_meu,rsgatherldinprogm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rspsrcldportselm301h,par_meu,rspsrcldportselm301h,mclk_*,none
fma_fault,mclk_*,par_fmav*,fpvwbm805h_p*fault*,par_exe,fpvwbm805h_p*fault*,mclk_*,none
fma_fault,mclk_*,par_exe,miwbfaultinfom806h,par_ooo_vec,miwbfaultinfom806h,mclk_*,none
fma_fault,mclk_*,par_exe,mivecwbfaultflagsm806h,par_ooo_vec,mivecwbfaultflagsm806h,mclk_*,none
803,mclk_*,par_meu,rsearlycancelwbldm803h,par_ooo_int,rsintearlycancelwbldm803h,mclk_*,path
wbdatavld,mclk_*,par_meu,mowbdatavldexem805h*,par_exe,mimowbdatavldm805h*,mclk_*,none
wbdatavld,mclk_*,par_meu,mowbdatavldrobm805h*,par_exe,mowbdatavldrobm805h*,mclk_*,none
wbdatavld,mclk_*,par_exe,mowbdatavldrobm806h*,par_ooo_vec,mowbdatavldrobm806h*,mclk_*,none
wbdatavld,mclk_*,par_meu,mowbprfdatavldm805h,par_exe,rswbprfdatavldm805h,mclk_*,none
wbdatavld,mclk_*,par_meu,mowbdatavldrsm805h,par_exe,rswbdatavldm805h,mclk_*,none
wbdatavld,mclk_*,par_meu,mowbdatavldexem805h,par_meu,mowbdatavldexem805h,mclk_meu,none
wbdatavld,mclk_*,par_meu,mowbdatavldrsdupm805h,par_ooo_int,mowbdatavldooodupm805h,mclk_ooo_int,none
wbdatavld,mclk_*,par_meu,rsvecwbdatavldm805h,par_ooo_vec,rsvecwbdatavldm805h,mclk_*,none
snoop_address,mclk_*,par_meu,dtmeadrstsmcm403h,par_fe,dtmeadrstm403h,mclk_*,none
snoop_address,mclk_*,par_fe,ifsnoophitm806h,par_ooo_vec,ifsnoophitm806h,mclk_*,none
snoop_address,mclk_fe,par_fe,DTMEAdrStM404H_reg,par_fe,IfSnoopPhyAdrM123H_reg,mclk_fe,none
snoop_address,mclk_*,par_meu,moifsnpadrstm402h,par_fe,moifsnpadrstm402h,mclk_*,none
ml2dc,mclk_*,par_mlc,ml2dcsnpreqm500h,par_meu,ml2dcsnpreqm500h,mclk_*,path
ml2dc,mclk_*,par_mlc,ml2dcstallm501h,par_meu,ml2dcstallm501h,mclk_*,none
mlrd,mclk_*,par_mlc,mlrddatam511h,par_meu,mlrddatam511h,mclk_*,path
dcreq,mclk_*,par_meu,dcreqattrm404h,par_mlc,dcreqattrm404h,mclk_*,none
dcreq,mclk_*,par_meu,dcreqadrm404h,par_mlc,dcreqadrm404h,mclk_*,none
dcreq,mclk_*,par_meu,dcreqtypm404h,par_mlc,dcreqtypm404h,mclk_*,none
dcreq,mclk_*,par_meu,dcreqvm404h,par_mlc,dcreqvm404h,mclk_*,none
idic2u,mclk_*,par_mlc,idic2ureqm5nnh,par_pm,idic2ureqm5nnh,mclk_*,none
idiu2c,mclk_*,par_pm,idiu2cdatam5nnh_pre,par_mlc,idiu2cdatam5nnh_pre,mclk_*,none
IEU_loop,mclk_meu,par_meu,ieDataM304H_reg,par_meu,ieDataM304H_reg,mclk_meu,path
