#family,startpoint,drv_par,drv_signal,rcv_par,rcv_signal,endpoint,pba
ld_loop,mclk_meu,par_meu,CWaySelLdM403H_reg*,par_meu,ChunkRotOutM404H_reg*,mclk_meu,none
ld_loop,mclk_meu,par_meu,ChunkRotOutM404H_reg*,par_meu,Ags*dataM304H_reg*,mclk_meu,none
DCLD_FP,mclk_*,par_meu,dclddatam805h,par_fmav1,dclddatam805h,mclk_fmav1,none
DCLD_FP,mclk_*,par_meu,dclddatam805h,par_fmav0,dclddatam805h,mclk_fmav0,none
DCLD_FP,mclk_*,par_fmav1,dclddatam806h,par_exe,dclddatam806h,mclk_*,none
DCLD_FP,mclk_*,par_fmav0,dclddatam806h,par_exe,dclddatam806h,mclk_*,none
SHUFWBDATA,mclk_*,par_exe,shuf2vfpp*v0wbm804h_data,par_fmav0,shuf2vfpp*v0wbm804h_data,mclk_*,none
SHUFWBDATA,mclk_*,par_exe,shuf2vfpp*v1wbm804h_data,par_fmav1,shuf2vfpp*v1wbm804h_data,mclk_*,none
tmldwb,mclk_*,par_meu,tmldwbdatam806h*data,par_fmav1,tmldwbdatam806h*data,mclk_*,none
fp_WB_faults,mclk_*,par_fmav0,fpv0wb*faultsvd*m804h_p_*,par_fmav1,fpv0wb*faultsvd*m804h_p_*,mclk_*,none
rspsrcm301h_int,mclk_*,par_ooo_int,rspsrcm301h,par_meu,rspsrcm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsuoplatencym301h,par_meu,rseuuoplatencym301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rspsrcintusem301h,par_meu,rspsrcintusem301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsuopcodm301h,par_meu,rseuuopcodm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsuopcodm301h,par_meu,rslduopcodm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsuopcodm301h,par_meu,rsstauopcodm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsuopcodm301h,par_meu,rsstduopcodm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rscancelm301h,par_meu,rscancelm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rspsrcfsmstatem301h,par_meu,rspsrcfsmstatem301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsearlyuopvexem301h,par_meu,rsearlyuopvm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rspsrcvm301h,par_meu,rspsrcvm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsextlatencym301h,par_meu,rsextlatencym301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsbcastcolorm301h,par_meu,rsbcastcolorm301h,mclk_*,none
301H_int,mclk_*,par_ooo_int,rsimmctlm301h,par_meu,rseuimmctlm301h,mclk_*,none
